Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
97,Fordham,29,10,19,.345,-7.63,1.92,3,13,9,6,1,13,1797,2074,67.5,91.4,.316,.290,.452,49.5,52.3,9.6,13.3,.423,16.8,36.2,.193
98,Fresno State,33,13,20,.394,-0.91,0.77,3,11,9,5,3,12,2170,2181,63.1,101.5,.370,.339,.507,47.0,50.1,11.0,8.6,.463,14.3,29.9,.267
99,Furman,31,15,16,.484,-6.04,-3.90,8,10,9,5,5,10,2006,2022,64.6,100.2,.369,.378,.518,51.9,49.6,8.0,10.2,.478,18.4,35.0,.264
100,Gardner-Webb,32,12,20,.375,-7.99,-4.82,6,12,9,4,3,15,2103,2138,66.1,98.3,.344,.340,.501,51.6,50.2,10.4,7.1,.468,17.7,34.8,.229
101,George Mason,33,24,9,.727,3.81,-1.67,14,4,15,1,7,6,2323,2142,67.6,102.5,.409,.263,.544,51.7,51.6,9.9,12.4,.507,19.2,33.9,.286
102,George Washington,31,10,21,.323,-0.63,4.15,5,11,6,8,2,12,1921,2069,64.0,96.8,.285,.230,.490,49.5,52.1,10.3,8.7,.462,17.4,35.8,.189
103,Georgetown,33,24,9,.727,16.81,7.69,12,6,15,1,6,5,2278,1959,63.3,107.4,.386,.308,.552,54.0,55.6,9.4,12.9,.519,17.0,35.8,.270
104,Georgia Southern,30,15,15,.500,-6.70,-3.78,12,6,10,2,4,12,2002,2033,66.7,98.9,.319,.289,.541,48.9,49.5,11.3,6.0,.516,19.7,29.1,.212
105,Georgia State,34,22,12,.647,5.69,-2.99,11,7,13,3,8,6,2298,2003,65.2,102.2,.343,.290,.510,50.7,50.7,14.0,13.3,.481,15.1,32.5,.225
106,Georgia Tech,31,11,20,.355,1.74,4.13,4,12,7,8,3,9,1866,1940,63.2,94.8,.287,.309,.501,52.6,48.6,8.2,13.4,.475,19.5,33.5,.188
107,Georgia,32,15,17,.469,5.92,7.95,5,11,11,6,2,9,1950,2015,61.4,98.1,.303,.370,.487,48.9,50.4,10.0,10.7,.453,14.3,30.6,.208
108,Gonzaga,33,26,7,.788,13.86,3.25,13,3,15,1,6,4,2436,2086,66.4,110.7,.461,.326,.574,54.6,55.3,10.1,9.0,.535,17.1,34.6,.330
109,Grambling,28,4,24,.143,-26.82,-9.39,4,14,1,9,3,15,1513,2001,66.4,81.0,.357,.287,.445,45.5,46.3,7.2,9.8,.398,21.1,27.5,.247
110,Green Bay,30,15,15,.500,-2.32,1.04,10,8,12,2,3,13,1935,1982,65.6,97.9,.332,.281,.510,50.8,53.2,9.2,12.1,.473,18.4,33.5,.234
111,Hampton,33,12,21,.364,-10.08,-7.93,6,10,6,5,1,13,2134,2205,67.9,94.5,.387,.345,.486,48.4,47.2,10.0,13.2,.452,17.7,32.6,.248
112,Hartford,31,9,22,.290,-13.41,-6.19,7,9,4,8,4,12,1860,2084,65.6,90.0,.308,.466,.514,44.6,62.1,9.9,7.6,.486,21.0,21.7,.205
113,Harvard,31,26,5,.839,7.84,-1.56,12,2,11,1,12,3,2033,1724,60.9,107.3,.411,.348,.571,53.4,57.7,9.7,14.1,.529,17.7,30.3,.307
114,Hawaii,32,16,16,.500,-2.79,-0.52,6,8,8,7,3,7,2356,2387,70.7,102.9,.434,.277,.539,51.2,56.9,7.9,7.9,.506,18.4,34.7,.289
115,High Point,31,13,18,.419,-5.92,-4.13,8,10,10,6,3,12,2203,2176,65.1,107.4,.385,.386,.548,49.3,52.1,8.5,8.4,.517,16.3,31.8,.264
116,Hofstra,32,10,22,.313,-2.98,-1.10,3,15,8,9,1,11,2091,2151,66.9,97.7,.431,.269,.501,49.8,55.6,11.4,6.6,.449,17.7,33.5,.309
117,Holy Cross,29,15,14,.517,-6.02,-4.23,9,5,11,3,4,11,1886,1938,66.1,98.3,.332,.312,.521,50.2,54.5,8.7,12.0,.483,18.1,30.0,.239
118,Houston Baptist,30,10,20,.333,-16.07,-6.10,3,7,9,5,0,13,2208,2344,74.4,98.0,.378,.258,.503,48.2,47.4,10.0,3.7,.464,17.8,33.6,.259
119,Houston,30,15,15,.500,0.04,0.21,7,9,13,5,1,8,2152,2147,67.7,104.7,.330,.271,.543,51.5,50.1,7.6,11.9,.512,18.1,35.2,.232
120,Howard,31,10,21,.323,-14.59,-4.16,6,10,6,5,3,14,1881,2174,67.8,89.1,.461,.272,.478,50.3,45.8,9.0,8.0,.427,21.5,35.0,.313
121,Idaho State,30,9,21,.300,-11.05,-2.77,7,9,5,8,4,13,1979,2192,65.9,97.7,.350,.340,.513,47.2,51.7,10.4,6.2,.479,18.1,30.9,.240
122,Idaho,33,19,14,.576,0.77,-0.43,9,5,11,4,8,8,2298,2240,64.3,107.5,.412,.324,.568,51.7,60.2,7.2,11.8,.540,18.1,32.5,.277
123,Illinois-Chicago,30,8,22,.267,-9.16,-1.30,3,15,7,7,1,15,1826,2033,64.1,94.2,.335,.368,.489,50.6,53.6,7.7,8.6,.455,19.2,34.0,.224
124,Illinois State,35,21,14,.600,6.33,2.64,9,9,14,3,4,9,2439,2310,64.4,106.2,.386,.427,.562,51.7,57.1,7.7,11.2,.520,16.4,27.7,.291
125,Illinois,32,17,15,.531,9.33,7.99,6,12,13,4,2,8,2098,2055,64.5,100.5,.304,.351,.527,51.1,52.2,7.8,11.7,.494,17.9,31.3,.217
126,Indiana State,33,18,15,.545,2.08,3.08,8,10,11,4,4,9,2120,2141,64.4,98.6,.383,.342,.522,49.4,55.0,9.0,9.2,.478,16.7,26.2,.276
127,Indiana,36,27,9,.750,18.63,7.80,11,7,18,1,5,6,2782,2392,66.9,115.5,.445,.275,.596,53.1,51.3,9.7,8.2,.552,16.7,35.3,.340
128,Iona,33,25,8,.758,8.36,-1.82,15,3,10,1,11,4,2736,2400,71.4,114.8,.303,.323,.588,50.5,62.5,10.1,5.2,.565,15.2,32.1,.216
129,Iowa State,34,23,11,.676,13.32,7.32,12,6,16,2,4,7,2490,2286,67.5,108.5,.387,.416,.557,53.3,57.1,8.5,8.7,.526,15.9,32.3,.266
130,Iowa,35,18,17,.514,7.04,6.53,8,10,14,6,3,9,2555,2537,68.2,107.0,.385,.272,.544,50.3,57.8,11.0,8.2,.505,15.7,32.9,.277
